Ref_Date,GEOGRAPHY,CUTOFFBASE,STATISTICS,LICOPERSONS,Value
1983,Canada,"Low income cut-offs before tax, 1992 base","Number of persons in low income (x 1,000)",Females,2542
1984,Canada,"Low income cut-offs before tax, 1992 base","Number of persons in low income (x 1,000)",Females,2606
1985,Canada,"Low income cut-offs before tax, 1992 base","Number of persons in low income (x 1,000)",Females,2482
1986,Canada,"Low income cut-offs before tax, 1992 base","Number of persons in low income (x 1,000)",Females,2342
1987,Canada,"Low income cut-offs before tax, 1992 base","Number of persons in low income (x 1,000)",Females,2341
1988,Canada,"Low income cut-offs before tax, 1992 base","Number of persons in low income (x 1,000)",Females,2276
1989,Canada,"Low income cut-offs before tax, 1992 base","Number of persons in low income (x 1,000)",Females,2140
1990,Canada,"Low income cut-offs before tax, 1992 base","Number of persons in low income (x 1,000)",Females,2483
1991,Canada,"Low income cut-offs before tax, 1992 base","Number of persons in low income (x 1,000)",Females,2656
1992,Canada,"Low income cut-offs before tax, 1992 base","Number of persons in low income (x 1,000)",Females,2795
1993,Canada,"Low income cut-offs before tax, 1992 base","Number of persons in low income (x 1,000)",Females,2918
1994,Canada,"Low income cut-offs before tax, 1992 base","Number of persons in low income (x 1,000)",Females,2957
1995,Canada,"Low income cut-offs before tax, 1992 base","Number of persons in low income (x 1,000)",Females,2987
1996,Canada,"Low income cut-offs before tax, 1992 base","Number of persons in low income (x 1,000)",Females,3161
1997,Canada,"Low income cut-offs before tax, 1992 base","Number of persons in low income (x 1,000)",Females,3089
1998,Canada,"Low income cut-offs before tax, 1992 base","Number of persons in low income (x 1,000)",Females,2979
1999,Canada,"Low income cut-offs before tax, 1992 base","Number of persons in low income (x 1,000)",Females,2809
2000,Canada,"Low income cut-offs before tax, 1992 base","Number of persons in low income (x 1,000)",Females,2747
2001,Canada,"Low income cut-offs before tax, 1992 base","Number of persons in low income (x 1,000)",Females,2609
2002,Canada,"Low income cut-offs before tax, 1992 base","Number of persons in low income (x 1,000)",Females,2685
2003,Canada,"Low income cut-offs before tax, 1992 base","Number of persons in low income (x 1,000)",Females,2684
2004,Canada,"Low income cut-offs before tax, 1992 base","Number of persons in low income (x 1,000)",Females,2650
2005,Canada,"Low income cut-offs before tax, 1992 base","Number of persons in low income (x 1,000)",Females,2575
2006,Canada,"Low income cut-offs before tax, 1992 base","Number of persons in low income (x 1,000)",Females,2444
2007,Canada,"Low income cut-offs before tax, 1992 base","Number of persons in low income (x 1,000)",Females,2297
2008,Canada,"Low income cut-offs before tax, 1992 base","Number of persons in low income (x 1,000)",Females,2370
2009,Canada,"Low income cut-offs before tax, 1992 base","Number of persons in low income (x 1,000)",Females,2317
2010,Canada,"Low income cut-offs before tax, 1992 base","Number of persons in low income (x 1,000)",Females,2385
2011,Canada,"Low income cut-offs before tax, 1992 base","Number of persons in low income (x 1,000)",Females,2278
1976,Canada,"Low income cut-offs before tax, 1992 base","Number of persons in low income (x 1,000)",Persons in economic families,3111
1977,Canada,"Low income cut-offs before tax, 1992 base","Number of persons in low income (x 1,000)",Persons in economic families,3035
1978,Canada,"Low income cut-offs before tax, 1992 base","Number of persons in low income (x 1,000)",Persons in economic families,2905
1979,Canada,"Low income cut-offs before tax, 1992 base","Number of persons in low income (x 1,000)",Persons in economic families,3004
1980,Canada,"Low income cut-offs before tax, 1992 base","Number of persons in low income (x 1,000)",Persons in economic families,2760
1981,Canada,"Low income cut-offs before tax, 1992 base","Number of persons in low income (x 1,000)",Persons in economic families,2798
1982,Canada,"Low income cut-offs before tax, 1992 base","Number of persons in low income (x 1,000)",Persons in economic families,3128
1983,Canada,"Low income cut-offs before tax, 1992 base","Number of persons in low income (x 1,000)",Persons in economic families,3371
1984,Canada,"Low income cut-offs before tax, 1992 base","Number of persons in low income (x 1,000)",Persons in economic families,3477
1985,Canada,"Low income cut-offs before tax, 1992 base","Number of persons in low income (x 1,000)",Persons in economic families,3194
1986,Canada,"Low income cut-offs before tax, 1992 base","Number of persons in low income (x 1,000)",Persons in economic families,2956
1987,Canada,"Low income cut-offs before tax, 1992 base","Number of persons in low income (x 1,000)",Persons in economic families,2883
1988,Canada,"Low income cut-offs before tax, 1992 base","Number of persons in low income (x 1,000)",Persons in economic families,2648
1989,Canada,"Low income cut-offs before tax, 1992 base","Number of persons in low income (x 1,000)",Persons in economic families,2488
1990,Canada,"Low income cut-offs before tax, 1992 base","Number of persons in low income (x 1,000)",Persons in economic families,2990
1991,Canada,"Low income cut-offs before tax, 1992 base","Number of persons in low income (x 1,000)",Persons in economic families,3268
1992,Canada,"Low income cut-offs before tax, 1992 base","Number of persons in low income (x 1,000)",Persons in economic families,3487
1993,Canada,"Low income cut-offs before tax, 1992 base","Number of persons in low income (x 1,000)",Persons in economic families,3715
1994,Canada,"Low income cut-offs before tax, 1992 base","Number of persons in low income (x 1,000)",Persons in economic families,3706
1995,Canada,"Low income cut-offs before tax, 1992 base","Number of persons in low income (x 1,000)",Persons in economic families,3867
1996,Canada,"Low income cut-offs before tax, 1992 base","Number of persons in low income (x 1,000)",Persons in economic families,4064
1997,Canada,"Low income cut-offs before tax, 1992 base","Number of persons in low income (x 1,000)",Persons in economic families,3954
1998,Canada,"Low income cut-offs before tax, 1992 base","Number of persons in low income (x 1,000)",Persons in economic families,3740
1999,Canada,"Low income cut-offs before tax, 1992 base","Number of persons in low income (x 1,000)",Persons in economic families,3441
2000,Canada,"Low income cut-offs before tax, 1992 base","Number of persons in low income (x 1,000)",Persons in economic families,3227
2001,Canada,"Low income cut-offs before tax, 1992 base","Number of persons in low income (x 1,000)",Persons in economic families,3077
2002,Canada,"Low income cut-offs before tax, 1992 base","Number of persons in low income (x 1,000)",Persons in economic families,3355
2003,Canada,"Low income cut-offs before tax, 1992 base","Number of persons in low income (x 1,000)",Persons in economic families,3289
2004,Canada,"Low income cut-offs before tax, 1992 base","Number of persons in low income (x 1,000)",Persons in economic families,3224
2005,Canada,"Low income cut-offs before tax, 1992 base","Number of persons in low income (x 1,000)",Persons in economic families,3059
2006,Canada,"Low income cut-offs before tax, 1992 base","Number of persons in low income (x 1,000)",Persons in economic families,2816
2007,Canada,"Low income cut-offs before tax, 1992 base","Number of persons in low income (x 1,000)",Persons in economic families,2641
2008,Canada,"Low income cut-offs before tax, 1992 base","Number of persons in low income (x 1,000)",Persons in economic families,2702
2009,Canada,"Low income cut-offs before tax, 1992 base","Number of persons in low income (x 1,000)",Persons in economic families,2748
2010,Canada,"Low income cut-offs before tax, 1992 base","Number of persons in low income (x 1,000)",Persons in economic families,2746
2011,Canada,"Low income cut-offs before tax, 1992 base","Number of persons in low income (x 1,000)",Persons in economic families,2522
1976,Canada,"Low income cut-offs before tax, 1992 base","Number of persons in low income (x 1,000)",Persons under 18 years in two-parent families,866
1977,Canada,"Low income cut-offs before tax, 1992 base","Number of persons in low income (x 1,000)",Persons under 18 years in two-parent families,790
1978,Canada,"Low income cut-offs before tax, 1992 base","Number of persons in low income (x 1,000)",Persons under 18 years in two-parent families,736
1979,Canada,"Low income cut-offs before tax, 1992 base","Number of persons in low income (x 1,000)",Persons under 18 years in two-parent families,803
1980,Canada,"Low income cut-offs before tax, 1992 base","Number of persons in low income (x 1,000)",Persons under 18 years in two-parent families,684
1981,Canada,"Low income cut-offs before tax, 1992 base","Number of persons in low income (x 1,000)",Persons under 18 years in two-parent families,707
1982,Canada,"Low income cut-offs before tax, 1992 base","Number of persons in low income (x 1,000)",Persons under 18 years in two-parent families,807
1983,Canada,"Low income cut-offs before tax, 1992 base","Number of persons in low income (x 1,000)",Persons under 18 years in two-parent families,830
1984,Canada,"Low income cut-offs before tax, 1992 base","Number of persons in low income (x 1,000)",Persons under 18 years in two-parent families,846
1985,Canada,"Low income cut-offs before tax, 1992 base","Number of persons in low income (x 1,000)",Persons under 18 years in two-parent families,759
1986,Canada,"Low income cut-offs before tax, 1992 base","Number of persons in low income (x 1,000)",Persons under 18 years in two-parent families,711
1987,Canada,"Low income cut-offs before tax, 1992 base","Number of persons in low income (x 1,000)",Persons under 18 years in two-parent families,660
1988,Canada,"Low income cut-offs before tax, 1992 base","Number of persons in low income (x 1,000)",Persons under 18 years in two-parent families,579
1989,Canada,"Low income cut-offs before tax, 1992 base","Number of persons in low income (x 1,000)",Persons under 18 years in two-parent families,555
1990,Canada,"Low income cut-offs before tax, 1992 base","Number of persons in low income (x 1,000)",Persons under 18 years in two-parent families,659
1991,Canada,"Low income cut-offs before tax, 1992 base","Number of persons in low income (x 1,000)",Persons under 18 years in two-parent families,737
1992,Canada,"Low income cut-offs before tax, 1992 base","Number of persons in low income (x 1,000)",Persons under 18 years in two-parent families,710
1993,Canada,"Low income cut-offs before tax, 1992 base","Number of persons in low income (x 1,000)",Persons under 18 years in two-parent families,807
1994,Canada,"Low income cut-offs before tax, 1992 base","Number of persons in low income (x 1,000)",Persons under 18 years in two-parent families,817
1995,Canada,"Low income cut-offs before tax, 1992 base","Number of persons in low income (x 1,000)",Persons under 18 years in two-parent families,862
1996,Canada,"Low income cut-offs before tax, 1992 base","Number of persons in low income (x 1,000)",Persons under 18 years in two-parent families,872
